Format = CCR Inc.
Particle Iteration = 1
pID	eTag	x[in]	y[in]	z[in]	vx/c	vy/c	vz/c	pI[A]	pKP[W]
1	9	-0.00082832	-0.000937579	0.84	0.00250932	0.00201275	0.27164	1.50504e-05	0.300521
2	9	0.0019956	0.00262808	0.84	0.00231006	0.0249212	0.270533	1.17529e-05	0.234731
3	9	-0.00019013	-0.000829598	0.84	0.00245817	0.00649438	0.271562	1.50653e-05	0.3008
4	9	-0.000149285	0.000493445	0.84	0.00248327	0.0175545	0.271083	1.26785e-05	0.253166
5	9	0.00300367	-0.000949171	0.84	0.00243601	0.00166442	0.271663	1.54999e-05	0.309547
6	9	-0.00235409	0.000553232	0.84	0.00245876	0.0178784	0.271108	1.29029e-05	0.257741
7	9	-0.00129741	0.0028254	0.84	0.00248114	0.0254016	0.270479	1.2479e-05	0.249221
8	9	0.00325958	0.000718484	0.84	0.00234356	0.0185453	0.271114	1.14114e-05	0.228036
9	9	0.00182046	-0.0008104	0.84	0.00242953	0.00685175	0.271588	1.58645e-05	0.316842
10	9	0.00171933	0.000628172	0.84	0.00244304	0.0182373	0.271122	1.37139e-05	0.274022
11	9	0.00425159	0.00284674	0.84	0.00235689	0.0255111	0.270392	1.08577e-05	0.216709
12	9	-0.00260767	-0.00102599	0.84	0.0024986	-0.00648172	0.271641	1.53966e-05	0.307605
13	9	-0.00508598	-0.000953383	0.84	0.0024953	0.00228805	0.271691	1.47167e-05	0.29398
14	9	0.000605564	-0.000936311	0.84	0.00238534	0.00172443	0.271668	1.63534e-05	0.326605
15	9	0.000594883	0.00260366	0.84	0.00246149	0.0248755	0.2706	1.2392e-05	0.247619
16	9	-0.00204544	-0.000802349	0.84	0.00249756	0.00702231	0.271607	1.51996e-05	0.303621
17	9	-0.00293779	-0.000943764	0.84	0.00250735	0.00228545	0.271748	1.55799e-05	0.311364
18	9	0.00416831	-0.000799966	0.84	0.00248279	0.0071146	0.271587	1.44145e-05	0.287898
19	9	-0.00419794	-0.000811428	0.84	0.00248909	0.00708521	0.271592	1.42339e-05	0.284301
20	9	-0.0107261	-0.00469264	0.84	0.00344137	-0.0295552	0.270084	6.36409e-06	0.127135
21	9	-0.00985091	-0.00236762	0.84	0.00274292	-0.021113	0.270759	1.35408e-05	0.270243
22	9	-0.00661902	-0.00242988	0.84	0.00255982	-0.021372	0.270917	1.19996e-05	0.239814
23	9	-0.00962065	0.000620626	0.84	0.00266237	0.0182756	0.27104	1.16971e-05	0.233583
24	9	-0.0102925	-0.0011185	0.84	0.00278966	-0.0103694	0.271448	1.61242e-05	0.321967
25	9	-0.0108739	-0.000989226	0.84	0.00312681	-0.00570094	0.271604	1.39414e-05	0.278428
26	9	-0.00963506	-0.00103167	0.84	0.00274335	-0.00666663	0.271567	1.4888e-05	0.297288
27	9	-0.00495957	-0.00103942	0.84	0.00245499	-0.00675125	0.271618	1.53418e-05	0.30647
28	9	-0.0101788	-0.000976447	0.84	0.00374439	-0.00045737	0.271645	1.27332e-05	0.254276
29	9	0.00827317	-0.00256304	0.84	0.00821005	-0.021497	0.270747	1.77293e-06	0.035419
30	9	0.0087213	-0.000998425	0.84	0.00842011	-0.00439188	0.271536	2.02498e-06	0.0404478
31	9	0.00886917	0.000723712	0.84	0.00833613	0.0182088	0.271058	1.46815e-06	0.0293473
32	9	-0.0106397	0.00277779	0.84	0.0030043	0.0254198	0.270461	9.67528e-06	0.193209
33	9	-0.00886101	0.00259152	0.84	0.00256884	0.0249067	0.270509	1.16738e-05	0.23311
34	9	-0.00560085	0.00264461	0.84	0.00243511	0.024968	0.270499	1.17322e-05	0.234268
35	9	-0.00353461	0.00261209	0.84	0.00241482	0.0248883	0.270524	1.21476e-05	0.242594
36	9	0.00457963	-0.00381891	0.84	0.00734975	-0.026264	0.270422	2.16398e-06	0.0432552
37	9	0.000332243	-0.000607297	0.84	0.00651438	0.00991955	0.271428	5.32957e-06	0.106443
38	9	-0.00712312	-0.00102783	0.84	0.00468065	-0.00861303	0.271528	1.37162e-05	0.273979
39	9	-0.00892792	-0.00114361	0.84	0.00263399	-0.0109471	0.271442	1.42423e-05	0.284424
40	9	-0.00360705	-0.00116249	0.84	0.00246558	-0.0109859	0.271474	1.5375e-05	0.307121
41	9	0.00571009	-0.000976158	0.84	0.00776322	-0.000986311	0.271648	3.67125e-06	0.0733648
42	9	-0.0105166	-0.000889359	0.84	0.00357131	0.0053205	0.27161	1.47176e-05	0.293938
43	9	-0.010564	-0.000930774	0.84	0.00334515	0.0033962	0.271634	1.01811e-05	0.20332
44	9	-0.010565	-0.000691637	0.84	0.00321535	0.00898491	0.271505	1.00314e-05	0.200326
45	9	-0.00989	-0.000816187	0.84	0.0029816	0.00726316	0.271555	1.26072e-05	0.251756
46	9	0.00576668	-0.000576042	0.84	0.00772106	0.0100559	0.271405	2.76587e-06	0.0552462
47	9	-0.0100046	0.00158181	0.84	0.00389613	0.022022	0.270725	9.29793e-06	0.185642
48	9	-0.0110048	-0.00288599	0.84	0.00327915	-0.0234766	0.270622	8.85026e-06	0.176718
49	9	-0.00511736	-0.00446573	0.84	0.00259352	-0.0287249	0.270159	1.09923e-05	0.219551
50	9	-0.00605467	-0.000799321	0.84	0.00253718	0.00741753	0.27157	1.46152e-05	0.291888
51	9	0.00498528	0.00218607	0.84	0.00744952	0.0232745	0.270655	1.81078e-06	0.0361845
52	9	-0.00692309	0.00278624	0.84	0.0025877	0.0254258	0.270465	1.13108e-05	0.225869
53	9	-0.00392443	0.0017089	0.84	0.00542049	0.02207	0.270773	5.61229e-06	0.112123
54	9	-0.0090373	-0.00465576	0.84	0.0039989	-0.0292933	0.270112	5.97569e-06	0.119382
55	9	-0.00421181	-0.00397914	0.84	0.0053112	-0.0270126	0.270395	5.88124e-06	0.117557
56	9	0.00612371	-0.00138907	0.84	0.00780108	-0.0137772	0.271299	3.17374e-06	0.0634224
57	9	-0.0105926	-0.00453865	0.84	0.00271668	-0.0288264	0.270166	1.17196e-05	0.234112
58	9	-0.00911763	-0.00452496	0.84	0.00259251	-0.0289217	0.270154	1.10464e-05	0.220661
59	9	0.00897563	-0.0011767	0.84	0.0084594	-0.010474	0.271365	1.77826e-06	0.0355189
60	9	-0.00757971	-0.00284554	0.84	0.00444827	-0.0232266	0.270673	7.62633e-06	0.152334
61	9	-0.00799226	0.00055308	0.84	0.00257748	0.0179848	0.271127	1.1834e-05	0.236439
62	9	0.0136855	-0.00117864	0.84	0.00228196	-0.0114773	0.271438	1.37738e-05	0.2751
63	9	0.0137857	-0.00104056	0.84	0.00214355	-0.00705728	0.271585	1.47439e-05	0.294461
64	9	0.0128053	-0.000636911	0.84	0.00114822	0.00939967	0.271537	7.99068e-06	0.159609
65	9	0.00841894	-0.000930115	0.84	-0.000184798	0.00281723	0.27166	8.30369e-06	0.165826
66	9	0.00994631	0.000582544	0.84	0.000239165	0.0178964	0.271105	6.53596e-06	0.130545
