Format = CCR Inc.
Particle Iteration = 1
pID	eTag	x[in]	y[in]	z[in]	vx/c	vy/c	vz/c	pI[A]	pKP[W]
1	9	0.00122958	-0.00656277	0.84	0.00587408	-0.0161366	0.271204	4.411e-06	0.0881385
2	9	-0.00672189	-0.0192641	0.84	0.00410443	-0.0363366	0.269288	2.11928e-06	0.0423504
3	9	-0.00668215	-0.000587429	0.84	0.0042885	-0.000327986	0.271685	5.73711e-06	0.114611
4	9	-0.00774434	-0.0122229	0.84	0.00359223	-0.0266776	0.270417	4.97785e-06	0.0994696
5	9	-0.00802336	-0.00463979	0.84	0.0033223	-0.0116461	0.271482	7.49383e-06	0.149743
6	9	-0.00758137	-0.00271877	0.84	0.00323462	-0.00647422	0.271615	7.03944e-06	0.140619
7	9	-0.0083009	-0.00267164	0.84	0.00365965	-0.00634775	0.27168	6.55971e-06	0.131105
8	9	-0.00787414	0.00948642	0.84	0.00311395	0.0220225	0.270833	4.6848e-06	0.0936072
9	9	-0.00251128	0.00196002	0.84	0.00521717	0.00667806	0.271536	6.07633e-06	0.121339
10	9	0.013578	-0.0127924	0.84	0.00773594	-0.0273533	0.270259	8.53748e-08	0.00170595
11	9	0.0115328	-0.00754315	0.84	0.0075165	-0.0181462	0.271089	6.69247e-07	0.013378
12	9	0.0118334	-0.000510974	0.84	0.00760584	-0.000158118	0.271673	8.46894e-07	0.0169264
13	9	0.00573302	-0.00148415	0.84	0.00666021	-0.002908	0.271664	3.31609e-06	0.0662674
14	9	-0.00566305	-0.00704161	0.84	0.00455946	-0.0172294	0.271132	4.38148e-06	0.0875278
15	9	-0.00439803	-0.0139328	0.84	0.00480763	-0.0293204	0.270075	2.36939e-06	0.0473281
16	9	-0.00489818	-0.0189085	0.84	0.00455063	-0.0358713	0.269386	1.7975e-06	0.0359319
17	9	-0.00787811	-0.00448587	0.84	0.00397475	-0.0112198	0.271514	5.17317e-06	0.10339
18	9	-0.00745073	-0.00719355	0.84	0.00409516	-0.0175704	0.271135	4.89744e-06	0.0978486
19	9	0.00564611	0.00461824	0.84	0.00660072	0.0129348	0.271401	1.91163e-06	0.0382096
20	9	0.0139093	0.0090232	0.84	0.00776405	0.0210156	0.270836	4.02194e-08	0.000803728
21	9	0.0106804	0.0123019	0.84	0.00725914	0.0259265	0.270331	6.32337e-08	0.00126272
22	9	-0.0185649	-0.00110315	0.307378	0.00330936	-0.00447234	0.0354035	1.29178e-06	0.000424312
23	9	-0.00498746	0.012341	0.84	0.00461168	0.0261981	0.270442	3.11765e-06	0.0622954
24	9	-0.00735207	0.00197408	0.84	0.00410136	0.00675226	0.271612	6.71051e-06	0.134064
25	9	-0.00737967	0.00303146	0.84	0.00316252	0.0093887	0.271556	6.66345e-06	0.133134
26	9	-0.00784134	0.014624	0.84	0.00390288	0.029313	0.270159	3.06372e-06	0.06123
27	9	-0.0086064	0.0143034	0.84	0.00347967	0.0289171	0.270189	3.25491e-06	0.0650413
28	9	-0.00675626	0.00094976	0.84	0.00306942	0.00396946	0.271666	6.78086e-06	0.135455
29	9	0.0146476	-0.00550625	0.84	0.00799228	-0.013582	0.271286	2.65796e-07	0.00531082
30	9	-0.00823647	0.00942757	0.84	0.00339131	0.0219596	0.270832	3.93537e-06	0.0786312
31	9	-0.00330508	0.00817855	0.84	0.00503146	0.0198059	0.27091	3.24094e-06	0.0647247
32	9	-0.00693214	0.00813524	0.84	0.00421512	0.0198297	0.270986	3.93653e-06	0.0786554
33	9	0.0104278	-0.0160976	0.84	0.00724819	-0.0321921	0.269789	1.29356e-07	0.00258577
34	9	-0.00457109	-0.000483013	0.84	0.00479944	-6.33812e-05	0.271757	7.54737e-06	0.150869
35	9	0.0139534	0.00260285	0.84	0.00788161	0.00815325	0.271492	4.43422e-07	0.00885899
36	9	0.00482864	0.0092717	0.84	0.0064246	0.021525	0.270782	9.60301e-07	0.019183
37	9	0.011307	0.00485552	0.84	0.00747677	0.0133831	0.27136	5.69696e-07	0.0113874
38	9	-0.00770039	0.000990172	0.84	0.00327052	0.00408671	0.27171	6.82271e-06	0.136342
39	9	-0.00710118	-0.00510842	0.84	0.00309825	-0.0127941	0.271401	6.58212e-06	0.131492
40	9	-0.00870566	0.00338481	0.84	0.00362579	0.0102485	0.271534	4.63763e-06	0.0926701
41	9	-0.00845973	0.00130688	0.84	0.00349091	0.00496253	0.271743	5.336e-06	0.106674
42	9	-0.00648348	-0.0187074	0.84	0.00285527	-0.0355776	0.269418	4.19673e-06	0.0838729
43	9	-0.00287793	-0.0124457	0.84	0.00291507	-0.0270094	0.270433	4.85169e-06	0.0969795
44	9	-0.00113146	0.0150826	0.84	0.0026163	0.0298195	0.270095	4.51008e-06	0.0901193
45	9	-0.00249699	-0.0128599	0.84	0.00264926	-0.0276788	0.270335	5.27886e-06	0.105491
46	9	-0.00254167	-0.00548391	0.84	0.00273171	-0.013665	0.271393	7.09331e-06	0.141739
47	9	-0.00431402	0.00281602	0.84	0.00293362	0.00886683	0.271602	6.95469e-06	0.138982
