Format = CCR Inc.
Particle Iteration = 10
pID	eTag	x[in]	y[in]	z[in]	vx/c	vy/c	vz/c	pI[A]	pKP[W]
1	9	0.00543994	-0.00143572	0.84	0.000651748	-0.0307628	0.26996	2.33501e-06	0.0466425
2	9	0.00447754	0.000192917	0.84	0.000643905	-0.00632705	0.271645	2.26626e-06	0.0452731
3	9	0.00604949	-0.00121129	0.84	0.000256934	-0.0302903	0.270052	2.03126e-06	0.0405871
4	9	0.00682211	-0.000738227	0.84	-1.85631e-05	-0.0291577	0.270116	2.26975e-06	0.045331
5	9	0.00596418	0.00164654	0.84	4.91233e-05	-0.0151284	0.27134	2.47493e-06	0.0494582
6	9	0.0060797	0.00141203	0.84	0.000105625	-0.020529	0.271012	2.29667e-06	0.0459058
7	9	0.00597024	0.00107357	0.84	-6.65104e-05	-0.0101557	0.271596	2.4537e-06	0.0490433
8	9	0.00628988	0.00116219	0.84	-0.000272791	-0.0106853	0.271576	2.2058e-06	0.0440883
9	9	0.00203643	-0.00192774	0.84	0.00172969	0.00143766	0.271722	2.94206e-06	0.0587792
10	9	0.00244121	-0.000674491	0.84	0.00146615	-0.00313192	0.271677	2.21672e-06	0.0442767
11	9	0.00132066	0.00162	0.84	0.00203708	-0.0153267	0.271327	2.39488e-06	0.0478606
12	9	0.00126474	-0.00268342	0.84	0.00208762	-0.0333262	0.269632	1.58198e-06	0.0315966
13	9	0.00110845	0.00163894	0.84	0.00219938	-0.0155753	0.271343	2.1981e-06	0.0439389
14	9	0.00737726	0.000286892	0.84	-0.000302081	-0.026373	0.270408	1.79197e-06	0.0357906
15	9	-0.00309375	-0.00289802	0.84	0.00446933	0.00537047	0.271637	2.61815e-06	0.0523061
16	9	-0.00281927	-0.00302673	0.84	0.00428473	0.00605789	0.271648	3.42886e-06	0.0685149
17	9	-0.000780482	-0.00301136	0.84	0.00321053	0.00607545	0.271591	2.98974e-06	0.0597073
18	9	-0.000401579	-0.00360637	0.84	0.00293809	0.011155	0.271447	2.23266e-06	0.0445928
19	9	0.00212233	-0.00335818	0.84	0.0016283	0.00838281	0.271558	3.08443e-06	0.0616047
20	9	0.00249911	-0.00272663	0.84	0.00140166	0.0198655	0.27103	2.34713e-06	0.0469039
21	9	0.00266213	-0.00208974	0.84	0.00139201	0.022443	0.270824	2.05229e-06	0.0410105
22	9	0.00688628	0.00143592	0.84	-0.000610478	-0.0124084	0.271367	2.50728e-06	0.0500617
23	9	-0.00120086	0.00162344	0.84	0.00333667	-0.018066	0.27106	1.07532e-06	0.0214754
24	9	0.000911782	-0.00338945	0.84	0.00240448	0.00857672	0.271598	2.54818e-06	0.0509151
25	9	0.00599432	-0.00176663	0.84	-0.000201311	0.000900875	0.271716	2.20016e-06	0.0439524
26	9	-0.00141026	-0.00364073	0.84	0.0034838	0.0135047	0.271422	1.0718e-06	0.0214216
27	9	-0.00123864	0.000633115	0.84	0.00337355	-0.00817076	0.271527	2.23886e-06	0.0447091
28	9	0.0022025	-0.00225078	0.84	0.00164196	0.00263969	0.271748	2.98829e-06	0.0597193
29	9	0.00218069	-0.00302055	0.84	0.00159404	0.0061881	0.271676	3.40853e-06	0.0681095
30	9	0.00202625	-0.00340216	0.84	0.00173181	0.00868931	0.271542	2.43588e-06	0.0486492
31	9	0.00194138	-0.00360884	0.84	0.00182639	0.0115283	0.271433	1.56212e-06	0.031198
32	9	0.0018141	-0.00351301	0.84	0.00189958	0.0154257	0.271242	2.07283e-06	0.0413986
33	9	0.00196201	-0.00358965	0.84	0.00182215	0.014015	0.27131	1.66688e-06	0.0332887
34	9	0.00214412	-0.00354659	0.84	0.00157997	0.0103849	0.271471	2.80364e-06	0.0559888
35	9	0.00239396	-0.00341826	0.84	0.00139514	0.00881867	0.271546	3.2826e-06	0.0655631
36	9	0.0025095	-0.00360732	0.84	0.00135842	0.0138368	0.271314	2.96678e-06	0.0592452
37	9	0.00396968	-0.00237066	0.84	0.000852532	0.00315812	0.271663	1.67705e-06	0.0334929
38	9	0.00462709	-0.00221638	0.84	0.000586578	0.0025574	0.271637	1.95876e-06	0.039109
39	9	0.0048739	-0.00272445	0.84	0.000467859	0.00472661	0.271683	2.07487e-06	0.0414515
