Format = CCR Inc.
Particle Iteration = 11
pID	eTag	x[in]	y[in]	z[in]	vx/c	vy/c	vz/c	pI[A]	pKP[W]
1	9	0.00363881	-0.00125561	0.84	0.000982447	-0.0141646	0.271287	3.38724e-07	0.00676352
2	9	0.00485261	-0.00273722	0.3641	-0	-0	0.000413937	0	0
3	9	0.00558867	-0.00287472	0.3641	-0	0	0.000413937	0	0
4	9	0.00532702	-0.00234493	0.3641	-1.3045e-05	0.000679844	-0.00156488	1.54946e-09	1.15251e-09
5	9	0.00435759	-0.00103207	0.84	0.000677566	-0.00730459	0.271577	1.01553e-07	0.00202805
6	9	0.00474233	-0.00105459	0.84	0.000343632	-0.00917168	0.271536	1.85273e-07	0.00370041
7	9	0.00487383	-0.00121862	0.84	0.000396458	-0.0142069	0.271311	4.27147e-07	0.00853072
8	9	0.0031494	-0.00120184	0.84	0.00110735	-0.0144693	0.271292	9.38018e-07	0.0187332
9	9	0.00301251	-0.00100205	0.84	0.00111955	-0.0115153	0.271442	1.13248e-06	0.0226183
10	9	0.00374264	-0.00143975	0.84	0.00100586	-0.0165639	0.271123	6.62746e-07	0.0132305
11	9	0.00377688	-0.00105252	0.84	0.000971843	-0.0125296	0.271383	1.23617e-06	0.0246865
12	9	0.00422214	-0.00106927	0.84	0.00087999	-0.0128995	0.271363	1.60482e-06	0.0320478
13	9	0.00437611	-0.000951162	0.84	0.000800843	-0.0101799	0.271488	1.99216e-06	0.0397854
14	9	0.00249696	-0.000984658	0.84	0.00120517	-0.0105139	0.271468	1.53623e-06	0.0306786
15	9	0.00505417	-0.00117953	0.84	0.000486599	-0.0144904	0.27132	1.06229e-06	0.0212196
16	9	0.00500293	-0.000950902	0.84	0.000389502	-0.00995342	0.271529	1.63276e-06	0.032616
17	9	0.0050872	-0.000904852	0.84	0.000301623	-0.00798162	0.271604	1.83719e-06	0.0367025
18	9	0.00777705	-0.00384146	0.3641	-0	-0	0.000413937	0	0
19	9	0.00765658	-0.00349219	0.3641	0	-0	0.000413937	0	0
20	9	0.00892453	-0.00412362	0.3641	-0	0	0.000413937	0	0
21	9	0.00832836	-0.00351118	0.3641	-0	-0	0.000413937	0	0
22	9	0.00867007	-0.00344619	0.3641	-0	-0	0.000413937	0	0
23	9	0.00883135	-0.00364968	0.3641	-0	-0	0.000413937	0	0
24	9	0.00954026	-0.00409203	0.3641	-0	0	0.000413937	0	0
25	9	0.0100815	-0.0031647	0.3641	-0	0	0.000413937	0	0
26	9	0.0104215	-0.0036719	0.3641	-0	-0	0.000413937	0	0
27	9	0.0106788	-0.00325035	0.3641	-0	-0	0.000413937	0	0
28	9	0.0106879	-0.00353948	0.3641	-0	-0	0.000413937	0	0
29	9	0.0115505	-0.00323498	0.3641	-0	-0	0.000413937	0	0
30	9	0.00515985	-0.0010413	0.84	5.05784e-05	-0.00848541	0.271583	6.03461e-08	0.00120551
31	9	0.00509974	-0.0013204	0.84	0.000213196	-0.015336	0.271253	5.02509e-07	0.0100361
32	9	0.00497921	-0.00108855	0.84	0.000170868	-0.0112489	0.271466	2.11418e-07	0.00422288
33	9	0.00523294	-0.00108907	0.84	-0.000107824	-0.0108978	0.271482	3.20717e-07	0.00640605
34	9	0.00844565	-0.00299475	0.3641	-0	-0	0.000413937	0	0
35	9	0.00924069	-0.00233343	0.3641	1.39976e-05	0.00051238	-0.00111066	1.03012e-08	3.93818e-09
36	9	0.00962072	-0.00284747	0.3641	-0	-0	0.000413937	0	0
37	9	0.0065001	-0.00104694	0.84	-0.000479548	-0.00763357	0.271591	4.63976e-08	0.000926738
38	9	0.00513457	-0.0013944	0.84	0.000157591	-0.0161271	0.271196	6.93119e-07	0.0138418
39	9	0.00547221	-0.00110149	0.84	-0.000234154	-0.013157	0.271398	1.03797e-06	0.0207354
40	9	0.00668475	-0.00101568	0.84	-0.000570368	-0.0122424	0.271402	1.90253e-06	0.037995
41	9	0.0099087	-0.00291387	0.3641	-0	-0	0.000413937	0	0
42	9	0.0100916	-0.00242154	0.3641	-0	-0	0.000413937	0	0
43	9	0.0109781	-0.00285311	0.3641	-0	-0	0.000413937	0	0
44	9	0.0104262	-0.00281985	0.3641	-0	-0	0.000413937	0	0
45	9	0.00690518	-0.00105493	0.84	-0.000752244	-0.0108798	0.271468	1.84856e-07	0.00369196
46	9	0.00695137	-0.00117213	0.84	-0.000789894	-0.0136432	0.271344	3.57748e-07	0.00714503
47	9	0.00679259	-0.00105303	0.84	-0.000887244	-0.0111168	0.27147	1.60223e-07	0.0032003
48	9	0.00979556	-0.00224818	0.3641	3.06744e-06	0.000720173	-0.00130361	1.29599e-08	7.3445e-09
