Format = CCR Inc.
Particle Iteration = 11
pID	eTag	x[in]	y[in]	z[in]	vx/c	vy/c	vz/c	pI[A]	pKP[W]
1	9	0.00242772	0.0023123	0.3641	-0	-0	0.000413937	0	0
2	9	0.00311754	0.00247449	0.3641	-1.64561e-06	-0.000205869	-0.000479407	2.03558e-13	1.41576e-14
3	9	0.00362616	0.00411184	0.3641	-0	-0	0.000413937	0	0
4	9	0.00954036	0.00408496	0.3641	-0	-0	0.000413937	0	0
5	9	-0.00818344	-0.0041237	0.3641	-0	0	0.000413937	0	0
6	9	-0.00787227	-0.00396585	0.3641	-0	-0	0.000413937	0	0
7	9	-0.00691414	-0.00409588	0.3641	-0	0	0.000413937	0	0
8	9	-0.00552897	-0.0032504	0.3641	-0	-0	0.000413937	0	0
9	9	-0.00327842	-0.00385631	0.3641	-0	-0	0.000413937	0	0
10	9	-0.00393961	-0.00392455	0.3641	0	-0	0.000413937	0	0
11	9	-0.00169093	-0.00409759	0.3641	-0	0	0.000413937	0	0
12	9	-0.00222409	-0.00367213	0.3641	-0	0	0.000413937	0	0
13	9	-0.00209714	-0.0039635	0.3641	-0	-0	0.000413937	0	0
14	9	-0.00183943	0.00045035	0.84	0.00404992	-0.00989012	0.271497	1.18768e-06	0.0237243
15	9	0.00495061	-0.00408821	0.3641	-0	0	0.000413937	0	0
16	9	0.00645959	-0.0039628	0.3641	-0	-0	0.000413937	0	0
17	9	-0.00697428	-0.00268841	0.3641	-0	-0	0.000413937	0	0
18	9	-0.00491031	-0.00406825	0.3641	-0	0	0.000413937	0	0
19	9	-0.00525692	-0.00387709	0.3641	-0	-0	0.000413937	0	0
20	9	-0.00124697	0.000732519	0.84	0.00312062	-0.0129037	0.271353	8.85282e-07	0.0176797
21	9	-0.00192848	-0.00348717	0.3641	-0	-0	0.000413937	0	0
22	9	-0.00553008	-0.00284839	0.3641	-0	0	0.000413937	0	0
23	9	0.00212868	-0.00353892	0.3641	-0	-0	0.000413937	0	0
24	9	0.00424021	-0.00344853	0.3641	-0	-0	0.000413937	0	0
25	9	0.00662641	-0.00348651	0.3641	-0	-0	0.000413937	0	0
26	9	0.00502816	-0.000723346	0.84	-3.31063e-06	-0.00329893	0.271692	1.81715e-06	0.0362993
27	9	0.00511476	-0.00176668	0.84	-3.79416e-05	0.00179258	0.271586	1.35963e-06	0.0271346
28	9	0.000696389	0.00273839	0.3641	0	-0	0.000413937	0	0
29	9	0.00104864	0.000477816	0.84	0.00212477	-0.0109034	0.271478	4.07711e-07	0.00814399
30	9	-0.0023699	-0.00206894	0.84	0.00464153	0.00419107	0.271678	1.81524e-07	0.0036272
31	9	0.000261854	-0.00278578	0.84	0.002883	0.00954215	0.271515	8.78694e-07	0.0175508
32	9	-0.00173719	-0.00274923	0.84	0.00383266	0.00851578	0.271553	1.14822e-06	0.022937
33	9	-0.00204223	-0.00277419	0.84	0.00439704	0.0089903	0.271564	1.29703e-06	0.0259168
34	9	-0.00193314	-0.00177082	0.84	0.00422558	0.00175374	0.271663	1.39146e-06	0.0277936
35	9	-0.0010277	-0.00408588	0.3641	-0	0	0.000413937	0	0
36	9	-0.001673	0.00072145	0.84	0.00390124	-0.0125824	0.271389	7.53503e-07	0.0150516
37	9	0.0052186	-0.00275354	0.84	-0.00022012	0.00882864	0.271598	9.20817e-07	0.0183985
38	9	0.00106498	0.000718932	0.84	0.00233669	-0.012413	0.271419	9.38185e-07	0.0187412
39	9	0.0017122	-0.0024654	0.84	0.0013393	0.00606326	0.271637	1.64114e-06	0.0327824
40	9	0.00190517	-0.00262743	0.84	0.00123818	0.00754483	0.27162	1.70682e-06	0.0340997
41	9	0.000985603	0.0021873	0.3641	-3.5958e-06	-0.000502446	-0.00068485	2.02656e-08	3.73573e-09
42	9	0.00144692	0.00284598	0.3641	0	-0	0.000413937	0	0
43	9	0.00162665	0.00257639	0.3641	-0	0	0.000413937	0	0
44	9	0.00292657	0.00307721	0.3641	-0	-0	0.000413937	0	0
45	9	0.00255753	-0.00264895	0.84	0.00105118	0.00840973	0.271639	5.12736e-07	0.0102471
46	9	0.00284444	-0.00272009	0.84	0.0010011	0.00880931	0.271614	1.3946e-06	0.0278686
47	9	0.00291523	-0.00236458	0.84	0.00097769	0.00620792	0.271679	1.32036e-07	0.00263837
48	9	0.00371327	0.00227843	0.3641	-1.75557e-05	-0.000555937	-0.00117443	1.73924e-13	7.50399e-14
49	9	0.00339793	-0.00235621	0.84	0.000861349	0.00613218	0.27162	1.74618e-07	0.0034876
50	9	0.00493439	0.00299223	0.3641	-0	-0	0.000413937	0	0
51	9	0.000954427	0.00406016	0.3641	-0	-0	0.000413937	0	0
