Format = CCR Inc.
Particle Iteration = 9
pID	eTag	x[in]	y[in]	z[in]	vx/c	vy/c	vz/c	pI[A]	pKP[W]
1	9	0.00562543	-0.000736646	0.84	0.000726732	-0.0272007	0.270371	3.48489e-06	0.0696279
2	9	0.00457082	-0.000122521	0.84	0.000700141	-0.00591915	0.271634	2.40148e-06	0.0479671
3	9	0.00628693	-0.000548406	0.84	0.000324328	-0.0266692	0.270399	3.0157e-06	0.0602411
4	9	0.00712897	-0.000378661	0.84	2.0062e-05	-0.026072	0.270428	3.38109e-06	0.067525
5	9	0.00614166	0.00102	0.84	9.66598e-05	-0.0134882	0.27146	2.77281e-06	0.0554256
6	9	0.00628703	0.00100486	0.84	0.000138527	-0.0181188	0.271186	2.70923e-06	0.0541528
7	9	0.00614502	0.000519552	0.84	-2.32576e-06	-0.00921057	0.271572	2.63996e-06	0.0527426
8	9	0.00645157	0.000602927	0.84	-0.000201621	-0.00970422	0.271569	2.39075e-06	0.0477692
9	9	0.00209867	-0.00168511	0.84	0.00176308	0.00107978	0.271719	3.09649e-06	0.0618627
10	9	0.00249579	-0.000762737	0.84	0.0015058	-0.00306514	0.271679	2.33316e-06	0.0466027
11	9	0.00132119	0.000986532	0.84	0.00205983	-0.0136836	0.271331	2.66936e-06	0.0533114
12	9	0.00141245	-0.00169618	0.84	0.00213323	-0.0296704	0.270065	2.30713e-06	0.0460822
13	9	0.00110438	0.00100202	0.84	0.00221701	-0.0138576	0.271361	2.46076e-06	0.0491607
14	9	0.00757316	0.000269459	0.84	-0.000307967	-0.0231212	0.270741	2.42683e-06	0.048484
15	9	-0.00320817	-0.00240884	0.84	0.00442521	0.00452576	0.271663	2.79686e-06	0.0558809
16	9	-0.00294538	-0.00249447	0.84	0.00424632	0.00507983	0.271705	3.68337e-06	0.0736212
17	9	-0.00085597	-0.00250025	0.84	0.00320175	0.00519435	0.271564	3.20342e-06	0.063952
18	9	-0.000482011	-0.0030005	0.84	0.00294627	0.00970013	0.271482	2.49688e-06	0.0498618
19	9	0.00217473	-0.00277106	0.84	0.00166094	0.00723602	0.271668	3.37333e-06	0.0674156
20	9	0.00259727	-0.00256719	0.84	0.00144615	0.0172089	0.271222	2.88441e-06	0.0576454
21	9	0.00275196	-0.00208006	0.84	0.00139216	0.0194978	0.271036	2.67845e-06	0.0535163
