#x[m]	y[m]	z[m]	pd[W/m^2]
-0.00140948	0.00443751	0.0382791	0
-7.83433e-06	0.00543995	0.0382791	0
-0.000662917	0.0059522	0.0382791	0
-0.000835291	0.00515279	0.0382791	0
-0.0014808	0.00639071	0.0382791	0
-0.000409335	0.00697982	0.0382791	0
-0.00115055	0.00750971	0.0382791	0
0.000187056	0.0105546	0.0382791	0
0.000958467	0.0108223	0.0382791	0
0.000522166	0.00477662	0.0382791	0
0.000962939	0.00421707	0.0382791	0
0.00156518	0.00482476	0.0382791	0
0.00175802	0.00403739	0.0382791	0
-0.0107519	0.00168654	0.0382791	0
-0.0109196	-0.00108142	0.0382791	0
-0.00963508	-0.00194226	0.0382791	0
-0.00867045	-0.00131934	0.0382791	0
-0.00558942	-0.00163173	0.0382791	0
-0.0108559	0.000800881	0.0382791	0
-0.0100533	0.000744698	0.0382791	0
-0.00978123	0.00174203	0.0382791	0
-0.00885502	0.00126617	0.0382791	0
-0.00644367	0.00159358	0.0382791	0
-0.00751653	0.00137735	0.0382791	0
-0.00596726	0.000721625	0.0382791	0
-0.00687818	0.000342726	0.0382791	0
-0.00159245	0.0107073	0.0382791	0
0.00106796	0.00581094	0.0382791	0
0.00169446	0.0105328	0.0382791	0
-0.00157859	0.00533731	0.0382791	0
-0.00140034	0.00852271	0.0382791	0
0.000643136	0.00747745	0.0382791	0
0.000334346	0.00641264	0.0382791	0
-0.000790952	0.00878035	0.0382791	0
-0.00163279	0.00946539	0.0382791	0
0.00147982	0.00669774	0.0382791	0
0.00175473	0.00802617	0.0382791	0
0.00082978	0.00869623	0.0382791	0
5.9167e-05	0.00933197	0.0382791	0
-0.000736082	0.0100718	0.0382791	0
0.000906546	0.00989144	0.0382791	0
0.00171034	0.00941077	0.0382791	0
0.00171666	0.00356946	0.0382791	0
0.00214691	0.0036475	0.0382791	0
-0.0108703	-0.00152643	0.0382791	0
-0.0101705	-0.00133317	0.0382791	0
-0.0102015	-0.00197749	0.0382791	0
-0.00839291	-0.000653724	0.0382791	0
-0.00768493	-0.000654497	0.0382791	0
-0.00810445	3.80814e-05	0.0382791	0
-0.00727881	-0.00132495	0.0382791	0
-0.00596801	-0.000328179	0.0382791	0
-0.00644869	-0.0014757	0.0382791	0
-0.00481034	-0.00162111	0.0382791	0
-0.0107144	-7.40402e-05	0.0382791	0
-0.00840251	0.00193307	0.0382791	0
-0.00942768	-0.000113466	0.0382791	0
-0.000638546	0.0108699	0.0382791	0
-0.000179508	0.0110836	0.0382791	0
0.0020135	0.00617194	0.0382791	0
-0.00186822	0.00774327	0.0382791	0
-0.00184864	0.00715622	0.0382791	0
-0.00013617	0.00812932	0.0382791	0
0.00173194	0.00873713	0.0382791	0
-0.00832248	-0.00194421	0.0382791	0
-0.00208162	0.0110375	0.0382791	0
-0.0111684	-0.00047552	0.0382791	0
-0.0108546	-0.00212771	0.0382791	0
-0.00943635	-0.0013264	0.0382791	0
-0.0104482	-0.000690249	0.0382791	0
-0.00980825	-0.000738321	0.0382791	0
-0.00764433	-0.00194881	0.0382791	0
-0.00707909	-0.000493577	0.0382791	0
-0.00904776	-0.00071849	0.0382791	0
-0.0091437	0.000570682	0.0382791	0
0.00212881	0.010951	0.0382791	0
-0.00161251	0.0100898	0.0382791	0
-0.00143489	0.00356092	0.0382791	0
0.000344432	0.0111123	0.0382791	0
0.000716604	0.0112302	0.0382791	0
0.00213048	0.0042355	0.0382791	0
-0.011072	0.00214578	0.0382791	0
-0.010416	0.00123371	0.0382791	0
-0.0104897	0.002116	0.0382791	0
-0.00947963	0.000994359	0.0382791	0
-0.00715538	0.00199386	0.0382791	0
-0.00220201	0.00398604	0.0382791	0
0.00124882	0.0111875	0.0382791	0
0.00160298	0.0110532	0.0382791	0
-0.00207397	0.00488182	0.0382791	0
-0.00198481	0.00881779	0.0382791	0
0.00161648	0.00735815	0.0382791	0
-0.000763071	0.00943658	0.0382791	0
0.00215644	0.00985358	0.0382791	0
0.00209347	0.00320262	0.0382791	0
0.00136602	0.0037811	0.0382791	0
-0.00798942	-0.00132209	0.0382791	0
-0.00899024	0.00192904	0.0382791	0
-0.00781708	0.000692694	0.0382791	0
-0.00848054	0.000653452	0.0382791	0
-0.0101013	-9.2825e-05	0.0382791	0
0.00178973	0.00549951	0.0382791	0
-0.00205003	0.00598212	0.0382791	0
0.000127603	0.00998621	0.0382791	0
-0.00208424	0.0104557	0.0382791	0
-0.0111967	0.00127455	0.0382791	0
-0.0112559	0.000385821	0.0382791	0
-0.00705713	-0.00190956	0.0382791	0
-0.00879022	-4.04591e-05	0.0382791	0
-0.0011067	0.0112022	0.0382791	0
-0.00118658	0.00394429	0.0382791	0
0.000316548	0.00428641	0.0382791	0
0.000777491	0.00526048	0.0382791	0
0.00131784	0.0102262	0.0382791	0
0.00191542	0.00340357	0.0382791	0
-0.00577668	-0.000986953	0.0382791	0
-0.0051933	-0.0010799	0.0382791	0
-0.00524058	-0.00209453	0.0382791	0
-0.0103967	0.000319376	0.0382791	0
-0.0002593	0.0103211	0.0382791	0
-0.000672287	0.00780185	0.0382791	0
0.000869896	0.00932083	0.0382791	0
-0.0111847	-3.59145e-05	0.0382791	0
-0.0111801	-0.00191337	0.0382791	0
-0.00820223	0.00132039	0.0382791	0
-0.007771	0.0020013	0.0382791	0
0.00231913	0.0106193	0.0382791	0
-0.00116939	0.0103934	0.0382791	0
0.00170178	0.010016	0.0382791	0
-0.00197492	0.00823996	0.0382791	0
-0.00870827	-0.00223622	0.0382791	0
0.000238628	-0.000421002	0.0382791	0
0.000550115	-0.00324342	0.0382791	0
-0.000387573	-0.00348801	0.0382791	0
0.0030595	0.00158549	0.0382791	0
-0.00373992	-0.000498473	0.0382791	0
-0.00422347	0.000381791	0.0382791	0
0.00275726	0.00222246	0.0382791	0
0.00168008	0.0031556	0.0382791	0
-0.00515476	0.000502422	0.0382791	0
-0.00536561	0.00154818	0.0382791	0
-0.00457761	0.00123842	0.0382791	0
-0.00189516	0.0035618	0.0382791	0
-0.00101296	0.00356012	0.0382791	0
0.00343183	8.0585e-05	0.0382791	0
-0.00345838	-0.00136266	0.0382791	0
-0.0035922	0.00129578	0.0382791	0
-0.00209878	-0.00267996	0.0382791	0
-0.000437845	0.00452935	0.0382791	0
0.000116334	0.00380909	0.0382791	0
0.000953426	0.00351134	0.0382791	0
0.00318342	0.000903515	0.0382791	0
0.00216617	0.00264618	0.0382791	0
-0.00402288	0.00191807	0.0382791	0
-0.00480045	-0.00053264	0.0382791	0
-0.00130115	-0.00308397	0.0382791	0
-0.00227421	0.00280063	0.0382791	0
-0.00366694	-0.00209641	0.0382791	0
-0.00411883	-0.00161169	0.0382791	0
-0.000452132	0.00368376	0.0382791	0
0.00366245	0.000602455	0.0382791	0
-0.00392496	-0.00104213	0.0382791	0
-0.00340975	0.00196584	0.0382791	0
0.00348967	0.00141192	0.0382791	0
0.00132307	0.00333038	0.0382791	0
-0.00442369	-0.00112908	0.0382791	0
-0.00428215	-0.00206495	0.0382791	0
-0.00391023	0.00083532	0.0382791	0
-0.00451078	0.00193821	0.0382791	0
-0.00170353	-0.00288016	0.0382791	0
-0.00397691	-6.70524e-05	0.0382791	0
0.00129312	-0.00341357	0.0382791	0
0.000237671	-0.00365817	0.0382791	0
0.00255092	0.00274024	0.0382791	0
0.00353358	0.00105476	0.0382791	0
0.00245413	0.00243975	0.0382791	0
-0.00448246	-2.86701e-05	0.0382791	0
0.00322626	0.00196583	0.0382791	0
-0.00420559	-0.000513475	0.0382791	0
-0.00203575	-0.00312643	0.0382791	0
0.00269033	-0.000109293	0.0382791	0
0.00279806	0.000511923	0.0382791	0
-0.00098614	0.00304815	0.0382791	0
-0.00131259	0.00320226	0.0382791	0
-0.00159428	0.00286583	0.0382791	0
